t sigma_z_10 sigma_z_20 sigma_z_30 sigma_z_40
10.400801603206412 0.16789739582449148 -0.04330085212927395 -0.08254631140573747 -0.08004907470861466
10.460921843687375 0.16759718651632222 -0.04288028360805489 -0.08413508856802748 -0.08046585655742608
10.521042084168336 0.16693897537054708 -0.042768850148468776 -0.08584460175124708 -0.08098662074745784
10.581162324649299 0.1663947696165165 -0.0430784789146137 -0.0876259327414976 -0.08186532281077206
10.64128256513026 0.16608356508135344 -0.043569939661807 -0.08962313832730112 -0.08280868419019607
10.701402805611222 0.1653483915399376 -0.04450220542582501 -0.09167059211613908 -0.08379599442758896
10.761523046092185 0.16416258856715427 -0.046011459643599636 -0.09352591696582335 -0.08504363639303113
10.821643286573146 0.16289821504530147 -0.0477462826277347 -0.09536785262243709 -0.08641514701671951
10.881763527054108 0.1614364856070772 -0.04954076355414109 -0.09801287533772161 -0.0876905314118233
10.941883767535069 0.15997033720960432 -0.051548018277922325 -0.10106296515588621 -0.08945365305196783
11.002004008016032 0.1581326261048713 -0.05367518985146567 -0.10391585635536763 -0.09151526381751768
11.062124248496994 0.15628722899798267 -0.05580680801474938 -0.10669745657432034 -0.09345307634774268
11.122244488977955 0.15471060142885418 -0.05772880048698682 -0.10958594039642082 -0.09565418717099922
11.182364729458918 0.15294935521051953 -0.05956700617538272 -0.11251246910956922 -0.09793610638130563
11.242484969939879 0.15115602851710788 -0.061190262305934176 -0.11540187588443528 -0.10021698980697638
11.302605210420841 0.149855982323522 -0.0625136713900498 -0.11818389152459206 -0.10258785568453722
11.362725450901802 0.14847683835291778 -0.06386141939491591 -0.12036202425904746 -0.10468985285126486
11.422845691382765 0.14720769933752686 -0.06507299000901084 -0.1222964850241095 -0.10676252145046647
11.482965931863728 0.1459358343115202 -0.06615470766994831 -0.12423247978362194 -0.10914625897882889
11.543086172344688 0.14455042458796438 -0.06708052310415703 -0.12643357738239752 -0.11129361679664809
11.603206412825651 0.14356035105811757 -0.06774796564769359 -0.12874147190591298 -0.11362177329526621
11.663326653306612 0.14280668600765184 -0.06830708584075268 -0.13098090559320366 -0.11570377693213163
11.723446893787575 0.14198368908724315 -0.0687567871943881 -0.1331031752205214 -0.1176737409965203
11.783567134268537 0.141496712019684 -0.06896256524135419 -0.13503314318116116 -0.11956161876123142
11.843687374749498 0.14101316807958056 -0.06911822892354205 -0.13701858134771677 -0.12129632018842423
11.90380761523046 0.14053257085803084 -0.06892984175129586 -0.1391280824171897 -0.12271803369891168
