t sigma_zs_1em3 max_bond_dim_1em3 sigma_zs_1em4 max_bond_dim_1em4 sigma_zs_1em5 max_bond_dim_1em5 
4.883255503669113 -0.14156439378229474 3.0598 -0.14606449683260456 4.0002 -0.15376279407182591 5.9995 
4.903268845897265 -0.15282295603863302 3.0599 -0.1576666128940575 4.0002 -0.16562059134802845 5.9994 
4.923282188125417 -0.1645950352598027 3.06 -0.16933970946714338 4.0002 -0.17767211138347588 5.9994 
4.943295530353569 -0.17650057651896364 3.0605 -0.18163970393257267 4.0002 -0.18952715198069922 5.9994 
4.963308872581721 -0.188373313421794 3.0611 -0.19445101709319923 4.0003 -0.2020927865963874 5.9994 
4.983322214809873 -0.20052424386714146 3.0614 -0.20724050009659944 4.0003 -0.21518283466837287 5.9994 
5.003335557038025 -0.21348277267447702 3.0616 -0.21986349192128246 4.0003 -0.22786234226270227 5.9994 
5.0233488992661774 -0.22618341826886718 3.0623 -0.23267411686709843 4.0004 -0.24107820888454284 5.9994 
5.0433622414943295 -0.23853633350485548 3.0627 -0.2457459315324901 4.0004 -0.25486936196761106 5.9994 
5.063375583722482 -0.2516106924531372 3.0629 -0.25847915183079995 4.0004 -0.2682762816328209 5.9995 
5.083388925950634 -0.26496773009672514 3.0632 -0.27192039183631156 4.0003 -0.28149690026532304 5.9995 
5.103402268178786 -0.2786476401207065 3.0637 -0.28525649321068897 4.0003 -0.2947333991020301 5.9995 
5.123415610406938 -0.29166937779308966 3.0641 -0.29795852132606376 4.0003 -0.3079247368950112 5.9995 
5.14342895263509 -0.30491992207848084 3.0641 -0.31087059332361305 4.0003 -0.32085565244637326 5.9996 
5.163442294863242 -0.3181783924975631 3.0643 -0.3240067325888594 4.0003 -0.3336394292465797 5.9996 
5.183455637091394 -0.33107629786617676 3.0648 -0.3371062704778795 4.0003 -0.3456429100682708 5.9996 
5.203468979319546 -0.3438300692601953 3.0654 -0.3502108893519993 4.0003 -0.35771033714826506 5.9996 
5.223482321547698 -0.3559324623129039 3.0656 -0.3628617450802833 4.0003 -0.36968885854706107 5.9997 
5.2434956637758505 -0.36790923634782186 3.0657 -0.3754729482722341 4.0003 -0.38153705191292187 5.9997 
5.263509006004003 -0.3798423794814289 3.0661 -0.3872675559082556 4.0003 -0.393397316395401 5.9997 
5.283522348232155 -0.39167173386530973 3.0665 -0.3987027336533928 4.0003 -0.4046270684564138 5.9997 
5.303535690460307 -0.4031201071011831 3.0674 -0.4096809987080027 4.0003 -0.4159506487108003 5.9997 
5.323549032688459 -0.41401118284087624 3.0678 -0.4204423943806881 4.0003 -0.4272373545004088 5.9997 
5.343562374916611 -0.42453387701751255 3.0688 -0.4306963829482582 4.0004 -0.43841643564126387 5.9997 
5.363575717144763 -0.4345154311689702 3.0692 -0.44049206645206784 4.0004 -0.44857266109709226 5.9997 
5.383589059372915 -0.444032544456434 3.0703 -0.44975963409873876 4.0004 -0.4587445051178713 5.9997 
5.403602401601067 -0.45302082873145644 3.0708 -0.45869018890044033 4.0004 -0.46795093757888373 5.9997 
5.423615743829219 -0.46154420725574763 3.0715 -0.4670210047144291 4.0004 -0.476481199740955 5.9997 
5.4436290860573715 -0.4697122280774865 3.072 -0.4754793150596672 4.0004 -0.48457705763151243 5.9997 
5.463642428285524 -0.47738021664693253 3.0726 -0.48355522432386905 4.0004 -0.4919395038101419 5.9997 
5.483655770513676 -0.48474592102401376 3.0732 -0.490635686246833 4.0004 -0.49893059034507214 5.9997 
5.503669112741828 -0.4917639311929338 3.0739 -0.4969868554614497 4.0004 -0.5056894109916651 5.9997 
5.52368245496998 -0.4976726815716056 3.0742 -0.5030113544419235 4.0004 -0.5115547826753164 5.9997 
5.543695797198132 -0.5029031940198373 3.0751 -0.5087503625632313 4.0004 -0.5169578994660499 5.9997 
5.563709139426284 -0.5072275163585422 3.0754 -0.513863946733651 4.0005 -0.5221655154322662 5.9997 
5.583722481654436 -0.5111216615790655 3.0757 -0.518403046998252 4.0005 -0.526691302934856 5.9997 
