t sigma_z_100 sigma_z_1000 sigma_z_10000
19.172781854569713 -0.7219564330409719 -0.7134319931957959 -0.7193564452106591
19.192795196797864 -0.7199581343157633 -0.7145751159261627 -0.7195685578617836
19.212808539026017 -0.71824859257864 -0.7157659564007434 -0.7198976906167944
19.232821881254168 -0.7183883601547946 -0.7161596665383263 -0.7199791532007401
19.25283522348232 -0.7181193612296346 -0.7168608422366545 -0.719682909598671
19.272848565710472 -0.715007219500372 -0.7166770296865468 -0.7194508666613664
19.292861907938626 -0.7169763303496848 -0.7162728033105535 -0.7193975729735216
19.312875250166776 -0.7201497229390376 -0.7157565352305746 -0.7189212034474821
19.33288859239493 -0.7230683817270807 -0.7146724878135934 -0.7179607244824029
19.35290193462308 -0.7244866325700733 -0.7132097067543715 -0.7173838372346996
19.372915276851234 -0.7276300668393765 -0.7118529886268211 -0.7171917736080091
19.392928619079385 -0.730301154794071 -0.7103905857685704 -0.7168418140842004
19.41294196130754 -0.7300522890430892 -0.7101852953287165 -0.7163522581712478
19.43295530353569 -0.730427849487067 -0.7104173018145205 -0.7153007799601164
19.452968645763843 -0.7327942912573522 -0.7105507257606917 -0.7139339675942509
19.472981987991993 -0.7349174604506559 -0.7098208072222546 -0.7127541465506101
19.492995330220147 -0.7350043135338233 -0.7091149609535298 -0.7115375665142004
19.513008672448297 -0.7337835598008389 -0.7083402104797125 -0.7100226233587373
19.53302201467645 -0.7319255838757805 -0.7067330470969275 -0.7085936800899846
19.5530353569046 -0.7295343921764271 -0.7049140849399441 -0.707121131505935
19.573048699132755 -0.7276931752915479 -0.7039009938758031 -0.7053814233415571
19.593062041360906 -0.7236728495826094 -0.7021636615491227 -0.7035229888927995
19.61307538358906 -0.7202489062217026 -0.7002122042429678 -0.7016326141947613
19.63308872581721 -0.7150397035592161 -0.6984982988511395 -0.6998034546594647
19.653102068045364 -0.7105371142811993 -0.6961134035457194 -0.6981854737045744
19.673115410273514 -0.7055000145020591 -0.6948126942762806 -0.696452275136522
19.693128752501668 -0.702667754505598 -0.6938045458486056 -0.6945694030738306
19.713142094729818 -0.7008766884528603 -0.6937556806002629 -0.6926111184602584
19.733155436957972 -0.6969861072565684 -0.6932089407738696 -0.6908325505828101
19.753168779186122 -0.690221391584085 -0.6912279428870778 -0.6890069467047639
19.773182121414276 -0.6856193634894471 -0.6891877356554207 -0.6874224347872412
19.793195463642427 -0.6826441876920485 -0.6873807080502192 -0.6858764601671073
19.81320880587058 -0.6793850359864924 -0.686313606393282 -0.6844525802500251
19.83322214809873 -0.6750944411396053 -0.6838554508699265 -0.6827146818350537
19.853235490326885 -0.6733178031942774 -0.6824439556755055 -0.6808614568128982
19.873248832555035 -0.670519580836449 -0.6812427704354841 -0.6793523910302746
19.89326217478319 -0.6673028499033654 -0.6791885593756029 -0.6778395002878694
19.91327551701134 -0.6674820037864296 -0.6768789839427769 -0.6760581233210796
19.933288859239493 -0.6669579027725228 -0.6740893136184892 -0.6740372548838058
19.953302201467643 -0.6659055824271359 -0.6711462780422152 -0.6723129793436876
